2013-06-05,6:30 PM,Team 1 - Ontario Trucking Academy - Daisy,,Team 3 - Roy's Enterprise - Safety Green,,Field 1,
2013-06-05,6:30 PM,Team 2 - Dr. Shariff - Gold,,Team 4 - Harman Park - Light Blue,,Field 2,
2013-06-05,6:30 PM,Team 5 - Whitby Trophy House - Tangerine,,Team 9 - Dr. Shariff - Orange,,Field 3,
2013-06-05,6:30 PM,Team 7 - Bent Imaging - Maroon,,Team 8 - Harman Park - Navy,,Field 4,
2013-06-05,6:30 PM,Team 10 - Gilmour's Auto - Purple,,Team 11 - Gilmour's Auto - Red,,Field 5,
2013-06-05,6:30 PM,Team 12 - North Oshawa Park - Royal,,Team 13 - MacKenzie Park - Sapphire,,Field 6,
2013-06-05,6:30 PM,Team 14 - Connaught Park - Irish Green,,Team 6 - Titan Plumbing -  Cardinal,,Field 7,
2013-06-12,6:30 PM,Team 9 - Dr. Shariff - Orange,,Team 1 - Ontario Trucking Academy - Daisy,,Field 7,
2013-06-12,6:30 PM,Team 4 - Harman Park - Light Blue,,Team 5 - Whitby Trophy House - Tangerine,,Field 6,
2013-06-12,6:30 PM,Team 7 - Bent Imaging - Maroon,,Team 2 - Dr. Shariff - Gold,,Field 5,
2013-06-12,6:30 PM,Team 3 - Roy's Enterprise - Safety Green,,Team 11 - Gilmour's Auto - Red,,Field 2,
2013-06-12,6:30 PM,Team 6 - Titan Plumbing -  Cardinal,,Team 10 - Gilmour's Auto - Purple,,Field 1,
2013-06-12,6:30 PM,Team 13 - MacKenzie Park - Sapphire,,Team 14 - Connaught Park - Irish Green,,Field 3,
2013-06-12,6:30 PM,Team 8 - Harman Park - Navy,,Team 12 - North Oshawa Park - Royal,,Field 4,
2013-06-19,6:30 PM,Team 1 - Ontario Trucking Academy - Daisy,,Team 4 - Harman Park - Light Blue,,Field 2,
2013-06-19,6:30 PM,Team 3 - Roy's Enterprise - Safety Green,,Team 9 - Dr. Shariff - Orange,,Field 3,
2013-06-19,6:30 PM,Team 5 - Whitby Trophy House - Tangerine,,Team 7 - Bent Imaging - Maroon,,Field 7,
2013-06-19,6:30 PM,Team 2 - Dr. Shariff - Gold,,Team 12 - North Oshawa Park - Royal,,Field 6,
2013-06-19,6:30 PM,Team 10 - Gilmour's Auto - Purple,,Team 13 - MacKenzie Park - Sapphire,,Field 4,
2013-06-19,6:30 PM,Team 11 - Gilmour's Auto - Red,,Team 6 - Titan Plumbing -  Cardinal,,Field 5,
2013-06-19,6:30 PM,Team 14 - Connaught Park - Irish Green,,Team 8 - Harman Park - Navy,,Field 1,
2013-06-26,6:00 PM,Team 1 - Ontario Trucking Academy - Daisy,,Team 2 - Dr. Shariff - Gold,,Valleyview Community Centre,
2013-06-26,6:10 PM,Team 3 - Roy's Enterprise - Safety Green,,Team 4 - Harman Park - Light Blue,,Valleyview Community Centre,
2013-06-26,6:20 PM,Team 5 - Whitby Trophy House - Tangerine,,Team 6 - Titan Plumbing -  Cardinal,,Valleyview Community Centre,
2013-06-26,6:30 PM,Team 7 - Bent Imaging - Maroon,,Team 8 - Harman Park - Navy,,Valleyview Community Centre,
2013-06-26,6:50 PM,Team 9 - Dr. Shariff - Orange,,Team 10 - Gilmour's Auto - Purple,,Valleyview Community Centre,
2013-06-26,7:00 PM,Team 11 - Gilmour's Auto - Red,,Team 12 - North Oshawa Park - Royal,,Valleyview Community Centre,
2013-06-26,7:10 PM,Team 13 - MacKenzie Park - Sapphire,,Team 14 - Connaught Park - Irish Green,,Valleyview Community Centre,
2013-07-03,6:30 PM,Team 4 - Harman Park - Light Blue,,Team 3 - Roy's Enterprise - Safety Green,,Field 4,
2013-07-03,6:30 PM,Team 7 - Bent Imaging - Maroon,,Team 1 - Ontario Trucking Academy - Daisy,,Field 7,
2013-07-03,6:30 PM,Team 2 - Dr. Shariff - Gold,,Team 5 - Whitby Trophy House - Tangerine,,Field 1,
2013-07-03,6:30 PM,Team 9 - Dr. Shariff - Orange,,Team 6 - Titan Plumbing -  Cardinal,,Field 5,
2013-07-03,6:30 PM,Team 13 - MacKenzie Park - Sapphire,,Team 11 - Gilmour's Auto - Red,,Field 3,
2013-07-03,6:30 PM,Team 8 - Harman Park - Navy,,Team 10 - Gilmour's Auto - Purple,,Field 6,
2013-07-03,6:30 PM,Team 12 - North Oshawa Park - Royal,,Team 14 - Connaught Park - Irish Green,,Field 2,
2013-07-10,6:30 PM,Team 1 - Ontario Trucking Academy - Daisy,,Team 2 - Dr. Shariff - Gold,,Field 2,
2013-07-10,6:30 PM,Team 3 - Roy's Enterprise - Safety Green,,Team 7 - Bent Imaging - Maroon,,Field 6,
2013-07-10,6:30 PM,Team 9 - Dr. Shariff - Orange,,Team 4 - Harman Park - Light Blue,,Field 3,
2013-07-10,6:30 PM,Team 5 - Whitby Trophy House - Tangerine,,Team 14 - Connaught Park - Irish Green,,Field 1,
2013-07-10,6:30 PM,Team 10 - Gilmour's Auto - Purple,,Team 12 - North Oshawa Park - Royal,,Field 7,
2013-07-10,6:30 PM,Team 11 - Gilmour's Auto - Red,,Team 8 - Harman Park - Navy,,Field 5,
2013-07-10,6:30 PM,Team 6 - Titan Plumbing -  Cardinal,,Team 13 - MacKenzie Park - Sapphire,,Field 4,
2013-07-17,6:30 PM,Team 7 - Bent Imaging - Maroon,,Team 9 - Dr. Shariff - Orange,,Field 1,
2013-07-17,6:30 PM,Team 2 - Dr. Shariff - Gold,,Team 3 - Roy's Enterprise - Safety Green,,Field 2,
2013-07-17,6:30 PM,Team 5 - Whitby Trophy House - Tangerine,,Team 1 - Ontario Trucking Academy - Daisy,,Field 3,
2013-07-17,6:30 PM,Team 4 - Harman Park - Light Blue,,Team 13 - MacKenzie Park - Sapphire,,Field 4,
2013-07-17,6:30 PM,Team 8 - Harman Park - Navy,,Team 6 - Titan Plumbing -  Cardinal,,Field 5,
2013-07-17,6:30 PM,Team 12 - North Oshawa Park - Royal,,Team 11 - Gilmour's Auto - Red,,Field 6,
2013-07-17,6:30 PM,Team 14 - Connaught Park - Irish Green,,Team 10 - Gilmour's Auto - Purple,,Field 7,
2013-07-24,6:30 PM,Team 3 - Roy's Enterprise - Safety Green,,Team 5 - Whitby Trophy House - Tangerine,,Field 7,
2013-07-24,6:30 PM,Team 9 - Dr. Shariff - Orange,,Team 2 - Dr. Shariff - Gold,,Field 2,
2013-07-24,6:30 PM,Team 4 - Harman Park - Light Blue,,Team 7 - Bent Imaging - Maroon,,Field 6,
2013-07-24,6:30 PM,Team 1 - Ontario Trucking Academy - Daisy,,Team 10 - Gilmour's Auto - Purple,,Field 4,
2013-07-24,6:30 PM,Team 11 - Gilmour's Auto - Red,,Team 14 - Connaught Park - Irish Green,,Field 3,
2013-07-24,6:30 PM,Team 6 - Titan Plumbing -  Cardinal,,Team 12 - North Oshawa Park - Royal,,Field 1,
2013-07-24,6:30 PM,Team 13 - MacKenzie Park - Sapphire,,Team 8 - Harman Park - Navy,,Field 5,
2013-07-31,6:30 PM,Team 3 - Roy's Enterprise - Safety Green,,Team 10 - Gilmour's Auto - Purple,,Field 3,
2013-07-31,6:30 PM,Team 4 - Harman Park - Light Blue,,Team 12 - North Oshawa Park - Royal,,Field 6,
2013-07-31,6:30 PM,Team 9 - Dr. Shariff - Orange,,Team 14 - Connaught Park - Irish Green,,field 1,
2013-07-31,6:30 PM,Team 7 - Bent Imaging - Maroon,,Team 8 - Harman Park - Navy,,Field 4,
2013-07-31,6:30 PM,Team 11 - Gilmour's Auto - Red,,Team 1 - Ontario Trucking Academy - Daisy,,Field 2,
2013-07-31,6:30 PM,Team 13 - MacKenzie Park - Sapphire,,Team 2 - Dr. Shariff - Gold,,Field 5,
2013-07-31,6:30 PM,Team 6 - Titan Plumbing -  Cardinal,,Team 5 - Whitby Trophy House - Tangerine,,Field 7,
2013-08-07,6:30 PM,Team 10 - Gilmour's Auto - Purple,,Team 9 - Dr. Shariff - Orange,,Field 6,
2013-08-07,6:30 PM,Team 14 - Connaught Park - Irish Green,,Team 4 - Harman Park - Light Blue,,Field 2,
2013-08-07,6:30 PM,Team 12 - North Oshawa Park - Royal,,Team 7 - Bent Imaging - Maroon,,Field 4,
2013-08-07,6:30 PM,Team 11 - Gilmour's Auto - Red,,Team 3 - Roy's Enterprise - Safety Green,,Field 7,
2013-08-07,6:30 PM,Team 1 - Ontario Trucking Academy - Daisy,,Team 6 - Titan Plumbing -  Cardinal,,Field 5,
2013-08-07,6:30 PM,Team 5 - Whitby Trophy House - Tangerine,,Team 13 - MacKenzie Park - Sapphire,,Field 1,
2013-08-07,6:30 PM,Team 2 - Dr. Shariff - Gold,,Team 8 - Harman Park - Navy,,Field 3,
2013-08-14,6:30 PM,Team 4 - Harman Park - Light Blue,,Team 10 - Gilmour's Auto - Purple,,Field 1,
2013-08-14,6:30 PM,Team 9 - Dr. Shariff - Orange,,Team 11 - Gilmour's Auto - Red,,Field 5,
2013-08-14,6:30 PM,Team 7 - Bent Imaging - Maroon,,Team 14 - Connaught Park - Irish Green,,Field 3,
2013-08-14,6:30 PM,Team 2 - Dr. Shariff - Gold,,Team 12 - North Oshawa Park - Royal,,Field 4,
2013-08-14,6:30 PM,Team 13 - MacKenzie Park - Sapphire,,Team 1 - Ontario Trucking Academy - Daisy,,Field 6,
2013-08-14,6:30 PM,Team 6 - Titan Plumbing -  Cardinal,,Team 3 - Roy's Enterprise - Safety Green,,Field 2,
2013-08-14,6:30 PM,Team 8 - Harman Park - Navy,,Team 5 - Whitby Trophy House - Tangerine,,Field 7,
,,,,,,,
,,,,,,,
,, ,,,,,
,, ,,,,,
